ProductKey,BK_product_id,ProductName,MainCategory,SubCategory,UnitPrice,CreationDateKey,IsDiscontinued,RowCycleId,RowUpdateCycleId,InsertDate,UpdateDate
-1,-1,Unknown,Unknown,Unknown,"0,00",19000101,0,-1,NULL,2025-08-27 16:36:00,NULL
1,1,Guess PaleTurquoise,Health & Beauty,Haircare,"364,46",20250214,1,1,NULL,2025-08-27 16:36:00,NULL
2,2,Enough Brown,Sports Equipment,Fitness,"232,43",20240107,0,1,NULL,2025-08-27 16:36:00,NULL
3,3,Win DeepSkyBlue,Clothing,Dresses,"344,16",20240608,0,1,NULL,2025-08-27 16:36:00,NULL
4,4,Kitchen FireBrick,Home Goods,Appliances,"27,41",20250302,0,1,NULL,2025-08-27 16:36:00,NULL
5,5,Dark MediumBlue,Clothing,Shoes,"207,16",20240825,0,1,NULL,2025-08-27 16:36:00,NULL
6,6,Consider Red,Home Goods,Decor,"489,16",20240722,0,1,NULL,2025-08-27 16:36:00,NULL
7,7,Writer LavenderBlush,Electronics,Laptops,"31,01",20240530,0,1,NULL,2025-08-27 16:36:00,NULL
8,8,Lot OliveDrab,Home Goods,Bedding,"36,56",20240121,0,1,NULL,2025-08-27 16:36:00,NULL
9,9,Ok LavenderBlush,Health & Beauty,Haircare,"123,13",20241116,0,1,NULL,2025-08-27 16:36:00,NULL
10,10,Agent MediumSpringGreen,Electronics,Laptops,"425,70",20240214,0,1,NULL,2025-08-27 16:36:00,NULL
11,11,Like PaleTurquoise,Toys & Games,Puzzles,"498,25",20250426,0,1,NULL,2025-08-27 16:36:00,NULL
12,12,Local Blue,Health & Beauty,Skincare,"249,12",20250211,0,1,NULL,2025-08-27 16:36:00,NULL
13,13,Health Green,Sports Equipment,Team Sports,"132,10",20250218,0,1,NULL,2025-08-27 16:36:00,NULL
14,14,Reveal DimGray,Books,Non-Fiction,"161,57",20240331,0,1,NULL,2025-08-27 16:36:00,NULL
15,15,Collection Silver,Toys & Games,Dolls,"135,05",20240509,0,1,NULL,2025-08-27 16:36:00,NULL
16,16,Every BurlyWood,Clothing,Shoes,"207,44",20240214,0,1,NULL,2025-08-27 16:36:00,NULL
17,17,Need MediumOrchid,Clothing,T-Shirts,"103,65",20250324,0,1,NULL,2025-08-27 16:36:00,NULL
18,18,Behavior LightYellow,Home Goods,Kitchenware,"374,28",20250428,0,1,NULL,2025-08-27 16:36:00,NULL
19,19,Since MediumTurquoise,Sports Equipment,Outdoor,"95,10",20240316,0,1,NULL,2025-08-27 16:36:00,NULL
20,20,As MediumPurple,Health & Beauty,Makeup,"88,53",20250225,0,1,NULL,2025-08-27 16:36:00,NULL
21,21,Impact LightYellow,Sports Equipment,Fitness,"268,66",20240911,0,1,NULL,2025-08-27 16:36:00,NULL
22,22,Increase Aqua,Toys & Games,Puzzles,"342,38",20241005,0,1,NULL,2025-08-27 16:36:00,NULL
23,23,Just DarkOrchid,Toys & Games,Dolls,"289,01",20250223,0,1,NULL,2025-08-27 16:36:00,NULL
24,24,National DarkSlateGray,Electronics,Smartphones,"447,51",20240401,0,1,NULL,2025-08-27 16:36:00,NULL
25,25,Technology Pink,Toys & Games,Board Games,"271,69",20250321,1,1,NULL,2025-08-27 16:36:00,NULL
26,26,Cover Indigo,Sports Equipment,Team Sports,"24,75",20240316,0,1,NULL,2025-08-27 16:36:00,NULL
